,characters,fa_list
32,K00262,"[<TN: Corynebacterium>, <TN: Eubacteriales>, <TN: T00577>, <TN: T04481>]"
33,K03820,"[<TN: Actinomycetes>, <TN: T06554>, <TN: T05843>, <TN: T02133>]"
34,K01493,"[<TN: Coriobacteriia>, <TN: T04721>]"
35,K03074,[<TN: Actinomycetes>]
36,K02823,"[<TN: Coriobacteriia>, <TN: Bifidobacterium>, <TN: T00398>]"
37,K00228,[<TN: Pseudomonadota>]
38,K07133,"[<TN: Campylobacterales>, <TN: Bacteroidales>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: Lactobacillus>, <TN: T08201>, <TN: T01461>, <TN: T05143>]"
39,K06980,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
40,K00254,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T02133>, <TN: T00122>]"
41,K03737,"[<TN: Campylobacter>, <TN: Coriobacteriia>]"
42,K03179,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T08201>, <TN: T06584>, <TN: T02545>, <TN: T02133>]"
43,K01903,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Campylobacter>, <TN: Staphylococcus>, <TN: T06794>, <TN: T00122>]"
44,K07146,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Staphylococcus>, <TN: Corynebacterium>]"
0,K22132,"[<TN: Campylobacter>, <TN: Coriobacteriia>, <TN: Staphylococcus>, <TN: T05843>, <TN: T07354>]"
1,K00332,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T02545>, <TN: T06794>]"
2,K00681,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Staphylococcus>, <TN: T04453>, <TN: T08780>, <TN: T04182>, <TN: T06794>]"
3,K15034,"[<TN: Pseudomonadota>, <TN: T01461>, <TN: T00447>, <TN: T02545>, <TN: T07354>]"
4,K14393,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
5,K00333,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T02545>, <TN: T06794>]"
6,K03152,"[<TN: Campylobacter>, <TN: Lactobacillus>, <TN: T05143>]"
7,K01880,"[<TN: Actinomycetes>, <TN: Bacteroidales>, <TN: Bacillota>, <TN: Staphylococcus>, <TN: T01461>]"
8,K08296,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Campylobacter>, <TN: T06794>]"
9,K03072,[<TN: Actinomycetes>]
10,K01902,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Campylobacter>, <TN: Staphylococcus>, <TN: T06794>, <TN: T00122>]"
11,K03816,"[<TN: Bacteroides>, <TN: Gammaproteobacteria>, <TN: Bacillota>, <TN: Coriobacteriia>, <TN: Bifidobacterium>, <TN: T01461>]"
12,K01878,"[<TN: Coriobacteriia>, <TN: Lactobacillus>, <TN: T00964>]"
13,K07137,[<TN: Coriobacteriia>]
14,K03615,"[<TN: T03770>, <TN: T00984>, <TN: T02505>]"
15,K06999,"[<TN: Pseudomonadota>, <TN: Micrococcaceae>, <TN: Bifidobacterium>]"
16,K06204,"[<TN: Pseudomonadota>, <TN: Bacteroidales>, <TN: Campylobacter>, <TN: Micrococcaceae>, <TN: T01461>, <TN: T06523>]"
17,K03617,"[<TN: T03770>, <TN: T00984>]"
18,K00610,"[<TN: Bacteroidales>, <TN: Bifidobacterium>, <TN: Lachnospiraceae>, <TN: T01461>, <TN: T03770>, <TN: T00964>]"
19,K00242,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T08201>, <TN: T06794>]"
20,K00989,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: T04453>, <TN: T06584>, <TN: T04182>, <TN: T05143>]"
21,K01879,"[<TN: Coriobacteriia>, <TN: Lactobacillus>, <TN: T00964>]"
22,K01920,[<TN: Pseudomonadota>]
23,K00963,[<TN: T04182>]
24,K03750,"[<TN: Staphylococcus>, <TN: T06584>, <TN: T08069>]"
25,K00252,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T06554>, <TN: T06794>]"
26,K00658,"[<TN: Pseudomonadota>, <TN: Bacteroides>, <TN: Staphylococcus>]"
27,K00121,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T06794>]"
28,K06891,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Campylobacter>, <TN: T06523>]"
29,K00970,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Bacteroidales>, <TN: T01461>]"
30,K00982,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
31,K05786,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Campylobacter>, <TN: Staphylococcus>, <TN: T08201>, <TN: T04453>, <TN: T04481>]"
32,K00362,"[<TN: Pseudomonadota>, <TN: Micrococcaceae>, <TN: T04721>, <TN: T06794>]"
33,K03782,"[<TN: Pseudomonadota>, <TN: T06554>, <TN: T06794>]"
34,K04759,"[<TN: Burkholderiaceae>, <TN: Coriobacteriia>, <TN: Staphylococcus>, <TN: Corynebacterium>, <TN: T03770>, <TN: T02505>, <TN: T01842>]"
35,K01006,"[<TN: Coriobacteriia>, <TN: Staphylococcus>, <TN: T06085>, <TN: T00398>, <TN: T02545>]"
36,K09791,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Micrococcaceae>, <TN: T08201>]"
37,K06916,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T08201>, <TN: T06794>]"
38,K03169,"[<TN: Staphylococcus>, <TN: T00577>, <TN: T00984>, <TN: T03496>, <TN: T05201>]"
39,K00651,"[<TN: Bacteroides>, <TN: Coriobacteriia>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T01461>, <TN: T06085>, <TN: T03770>, <TN: T00964>]"
40,K09157,"[<TN: Coriobacteriia>, <TN: Corynebacterium>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T04453>, <TN: T01461>, <TN: T00964>, <TN: T04115>]"
41,K07390,[<TN: Pseudomonadota>]
42,K01061,"[<TN: Burkholderiales>, <TN: Micrococcaceae>, <TN: T06554>, <TN: T04115>, <TN: T02545>, <TN: T06794>]"
43,K03976,"[<TN: Gammaproteobacteria>, <TN: T00577>]"
44,K00459,"[<TN: Actinomycetes>, <TN: Staphylococcus>, <TN: Lachnospiraceae>, <TN: T06554>, <TN: T06584>]"
0,K00390,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Staphylococcus>, <TN: Micrococcaceae>, <TN: T04453>, <TN: T01461>, <TN: T08069>, <TN: T02133>]"
1,K01637,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T07354>]"
2,K00568,[<TN: Pseudomonadota>]
3,K03644,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Bacteroidales>, <TN: Staphylococcus>]"
4,K09001,"[<TN: Pseudomonadota>, <TN: T04182>, <TN: T04222>, <TN: T06523>]"
5,K07166,"[<TN: Coriobacteriia>, <TN: Corynebacterium>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T04453>, <TN: T01461>, <TN: T00964>, <TN: T04115>]"
6,K00990,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T07267>]"
7,K00163,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
8,K06929,"[<TN: Comamonadaceae>, <TN: Micrococcales>, <TN: T06085>, <TN: T00925>, <TN: T02545>]"
9,K00457,"[<TN: Pseudomonadota>, <TN: T02545>]"
10,K06193,"[<TN: Pseudomonadota>, <TN: T04021>, <TN: T04481>, <TN: T00398>, <TN: T06584>, <TN: T05201>, <TN: T06523>]"
11,K02116,"[<TN: Pseudomonadota>, <TN: Staphylococcus>, <TN: T08201>, <TN: T06584>, <TN: T00701>, <TN: T02545>]"
12,K01029,"[<TN: Pseudomonadota>, <TN: Mycobacteriales>, <TN: Micrococcaceae>, <TN: T08780>, <TN: T06554>, <TN: T03970>]"
13,K14162,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T06554>]"
14,K03752,"[<TN: Pseudomonadota>, <TN: Mycobacteriales>, <TN: Campylobacter>, <TN: Staphylococcus>, <TN: T08201>, <TN: T04453>, <TN: T06584>, <TN: T05143>, <TN: T05843>, <TN: T07267>]"
15,K01595,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Micrococcaceae>, <TN: Lactobacillus>, <TN: T08780>, <TN: T07354>]"
16,K08973,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T00577>, <TN: T06554>]"
17,K03117,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Micrococcaceae>, <TN: T08201>, <TN: T05143>]"
18,K07139,"[<TN: Bacteroidales>, <TN: Bacillota>, <TN: Staphylococcus>, <TN: Lachnospiraceae>, <TN: T01461>]"
19,K00363,"[<TN: Pseudomonadota>, <TN: Micrococcaceae>, <TN: T04721>, <TN: T06794>]"
20,K09773,"[<TN: Pseudomonadota>, <TN: Coriobacteriia>, <TN: Bacilli>, <TN: Micrococcaceae>, <TN: T00964>]"
21,K04041,"[<TN: Bacteroidales>, <TN: Bacillota>, <TN: Coriobacteriia>, <TN: Staphylococcus>]"
22,K01640,"[<TN: Pseudomonadota>, <TN: T04453>, <TN: T04182>, <TN: T00447>, <TN: T02545>, <TN: T06794>]"
23,K00940,"[<TN: Bacteroides>, <TN: Staphylococcus>]"
24,K03613,"[<TN: T03770>, <TN: T00984>]"
25,K02303,"[<TN: Pseudomonadota>, <TN: Staphylococcus>, <TN: Micrococcaceae>, <TN: T07267>]"
26,K00241,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Bacteroidales>, <TN: Staphylococcus>, <TN: T08201>, <TN: T06719>]"
27,K02415,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T01461>, <TN: T08780>, <TN: T04721>]"
28,K04755,"[<TN: Pseudomonadota>, <TN: T06719>, <TN: T00701>]"
29,K00275,"[<TN: Pseudomonadota>, <TN: Bacteroidales>, <TN: T02545>, <TN: T06794>]"
30,K07516,[<TN: Pseudomonadota>]
31,K00019,"[<TN: Pseudomonadota>, <TN: Micrococcaceae>, <TN: T08780>, <TN: T06554>, <TN: T03970>, <TN: T02545>, <TN: T06794>]"
32,K09767,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: T08201>, <TN: T06794>]"
33,K02535,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T08201>, <TN: T04453>]"
34,K03801,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Bacteroidales>]"
35,K00705,"[<TN: Eubacteriales>, <TN: T00964>, <TN: T05143>, <TN: T00701>]"
36,K03089,[<TN: Pseudomonadota>]
37,K11473,"[<TN: Pseudomonadota>, <TN: Campylobacter>, <TN: T06554>]"
38,K09780,"[<TN: Micrococcaceae>, <TN: T06085>, <TN: T00398>, <TN: T06554>, <TN: T02545>, <TN: T07267>]"
39,K02427,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T01461>]"
40,K02446,"[<TN: Actinomycetes>, <TN: T04453>, <TN: T03770>, <TN: T06584>]"
41,K04764,"[<TN: Pseudomonadota>, <TN: T08201>]"
42,K05788,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T05201>]"
43,K06871,"[<TN: Bacillota>, <TN: Lachnospiraceae>, <TN: T01461>, <TN: T06085>, <TN: T02545>, <TN: T06523>]"
44,K03666,"[<TN: Pseudomonadota>, <TN: Staphylococcus>, <TN: T04182>]"
0,K02394,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T08780>]"
1,K03340,"[<TN: Bacteroidales>, <TN: Lachnospiraceae>, <TN: T08201>, <TN: T00984>, <TN: T07354>]"
2,K00641,"[<TN: Burkholderiales>, <TN: Actinomycetes>, <TN: Campylobacter>, <TN: Staphylococcus>, <TN: T08201>, <TN: T04453>, <TN: T06554>, <TN: T04182>, <TN: T02133>]"
3,K03593,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Bacteroidales>, <TN: Staphylococcus>, <TN: T06584>]"
4,K00656,"[<TN: Bacteroidales>, <TN: Bifidobacterium>, <TN: Lachnospiraceae>, <TN: T04453>, <TN: T01461>, <TN: T03770>, <TN: T06584>, <TN: T05143>, <TN: T07267>]"
5,K00381,"[<TN: Pseudomonadota>, <TN: Staphylococcus>]"
6,K00048,"[<TN: Bacteroides>, <TN: Bifidobacterium>, <TN: Lachnospiraceae>, <TN: T04453>, <TN: T01461>, <TN: T06584>, <TN: T05143>]"
7,K01692,"[<TN: Burkholderiales>, <TN: Actinomycetes>, <TN: T06554>, <TN: T07354>]"
8,K03562,"[<TN: Pseudomonadota>, <TN: Campylobacter>]"
9,K03652,"[<TN: Comamonadaceae>, <TN: Actinomycetes>, <TN: Bacilli>, <TN: T08201>, <TN: T06554>, <TN: T04182>, <TN: T02505>, <TN: T04222>]"
10,K03560,"[<TN: Pseudomonadota>, <TN: T04453>]"
11,K07399,"[<TN: Burkholderiales>, <TN: Actinomycetes>, <TN: T08201>, <TN: T00964>]"
12,K03641,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T04453>, <TN: T01461>, <TN: T00447>, <TN: T06523>]"
13,K00799,[<TN: Pseudomonadota>]
14,K01679,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Bacillota>, <TN: T01461>, <TN: T08780>, <TN: T06554>, <TN: T04182>]"
15,K03324,"[<TN: Comamonadaceae>, <TN: T00577>, <TN: T05738>, <TN: T06554>, <TN: T00984>]"
16,K07456,[]
17,K01556,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: T02545>]"
18,K03183,"[<TN: Staphylococcus>, <TN: T00984>]"
19,K01938,"[<TN: Coriobacteriia>, <TN: Micrococcaceae>, <TN: Bifidobacterium>, <TN: T06085>, <TN: T07267>]"
20,K16363,[<TN: Bacteroidales>]
21,K03316,"[<TN: Gammaproteobacteria>, <TN: T00925>]"
22,K03308,"[<TN: Gammaproteobacteria>, <TN: Staphylococcus>, <TN: T00984>, <TN: T05843>, <TN: T00701>, <TN: T07354>]"
23,K08300,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
24,K05520,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Burkholderiaceae>, <TN: Staphylococcus>, <TN: T00964>]"
25,K03116,[<TN: Staphylococcus>]
26,K18707,"[<TN: Coriobacteriia>, <TN: Staphylococcus>, <TN: T06085>]"
27,K00850,[<TN: T03770>]
28,K04069,"[<TN: Bacteroidales>, <TN: Campylobacter>, <TN: Coriobacteriia>, <TN: Bifidobacterium>, <TN: Lachnospiraceae>, <TN: T04453>, <TN: T01461>, <TN: T03770>, <TN: T06584>, <TN: T07267>]"
29,K08972,"[<TN: Actinomycetota>, <TN: Burkholderiales>, <TN: T00964>, <TN: T06584>, <TN: T07267>]"
30,K08311,"[<TN: Campylobacterales>, <TN: Pseudomonadota>]"
31,K00684,"[<TN: Pseudomonadota>, <TN: T04021>, <TN: T06523>]"
32,K00943,"[<TN: T04182>, <TN: T07943>, <TN: T02133>]"
33,K10764,"[<TN: Pseudomonadota>, <TN: Burkholderiaceae>, <TN: Micrococcaceae>, <TN: T06554>, <TN: T06794>]"
34,K06195,[<TN: Pseudomonadota>]
35,K00140,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T04453>, <TN: T06554>, <TN: T06794>]"
36,K07113,"[<TN: Pseudomonadota>, <TN: Mycobacteriales>, <TN: T02545>]"
37,K00020,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Dorea>, <TN: T04453>, <TN: T06584>, <TN: T06719>, <TN: T07267>]"
38,K02825,"[<TN: Actinomycetota>, <TN: Burkholderiales>, <TN: Bacilli>, <TN: T08201>, <TN: T04453>, <TN: T06554>, <TN: T06584>]"
39,K10804,"[<TN: Pseudomonadota>, <TN: Micrococcaceae>, <TN: Lactobacillus>, <TN: T00964>, <TN: T04182>]"
40,K00208,"[<TN: Pseudomonadota>, <TN: Bacteroidales>, <TN: Campylobacter>, <TN: Bacilli>, <TN: T08201>, <TN: T06554>, <TN: T04115>]"
41,K01572,[]
42,K07723,[<TN: Staphylococcus>]
43,K03118,[<TN: Staphylococcus>]
44,K03579,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Corynebacterium>]"
