,characters,fa_list
28,K01419,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T08201>, <TN: T01461>]"
29,K03667,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T08201>, <TN: T01461>]"
30,K00632,"[<TN: Burkholderiales>, <TN: Gammaproteobacteria>, <TN: T04182>, <TN: T05843>, <TN: T05201>, <TN: T00447>, <TN: T02545>, <TN: T06794>]"
31,K01638,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: T02545>, <TN: T07354>, <TN: T06794>]"
32,K00262,"[<TN: Bacteroidales>, <TN: Micrococcales>, <TN: Coriobacteriia>, <TN: Corynebacterium>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T08201>, <TN: T01461>, <TN: T08780>, <TN: T00577>, <TN: T04481>, <TN: T02545>]"
33,K03820,"[<TN: Campylobacterales>, <TN: Burkholderiales>, <TN: Mycobacteriales>, <TN: T08201>, <TN: T01461>, <TN: T06085>, <TN: T06554>, <TN: T05843>, <TN: T02545>, <TN: T02133>]"
34,K01493,"[<TN: Bacteroidales>, <TN: Bacillota>, <TN: Coriobacteriia>, <TN: T08201>, <TN: T04453>, <TN: T01461>, <TN: T04721>]"
35,K03074,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Mycobacteriales>, <TN: T08201>, <TN: T04453>, <TN: T01461>, <TN: T05843>, <TN: T05201>, <TN: T00701>, <TN: T02545>]"
36,K02823,"[<TN: Bacteroidales>, <TN: Coriobacteriia>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T08201>, <TN: T04453>, <TN: T01461>, <TN: T00398>, <TN: T00964>, <TN: T06584>]"
37,K00228,[<TN: Pseudomonadota>]
38,K07133,"[<TN: Campylobacterales>, <TN: Bacteroidales>, <TN: Bifidobacterium>, <TN: Lactobacillus>, <TN: Dorea>, <TN: T08201>, <TN: T01461>, <TN: T04182>, <TN: T07943>, <TN: T06719>, <TN: T05143>]"
39,K06980,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: T02545>]"
40,K00254,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T02133>, <TN: T00122>]"
41,K03737,"[<TN: Bacteroidales>, <TN: Campylobacter>, <TN: Coriobacteriia>, <TN: Dorea>, <TN: T08201>, <TN: T04453>, <TN: T00964>, <TN: T06584>, <TN: T04182>, <TN: T05095>, <TN: T06719>]"
42,K03179,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T08201>, <TN: T06584>, <TN: T02545>, <TN: T02133>]"
43,K01903,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Campylobacter>, <TN: Staphylococcus>, <TN: Bifidobacterium>, <TN: T02545>, <TN: T06794>, <TN: T00122>]"
44,K07146,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Staphylococcus>, <TN: Corynebacterium>]"
